fold,epoch,train_loss,train_accuracy_at_0_76,train_auc,train_processed_batches,train_skipped_batches,val_loss,val_accuracy_at_0_76,val_auc,val_processed_batches,val_skipped_batches,tuned_threshold,tuned_accuracy,tuned_sensitivity,tuned_specificity,tuned_f1,tuned_youden_j
2,1,0.42176453769207,0.30357142857142855,0.5324283559577677,56,0,0.4015564279896872,0.2857142857142857,1.0,7,0,0.49,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
2,2,0.4118984639644623,0.30357142857142855,0.7858220211161387,56,0,0.39600442562784466,0.2857142857142857,1.0,7,0,0.49,1.0,1.0,1.0,1.0,1.0
2,3,0.40618177503347397,0.30357142857142855,0.8446455505279035,56,0,0.3927398238863264,0.2857142857142857,1.0,7,0,0.5,1.0,1.0,1.0,1.0,1.0
2,4,0.4019719710839646,0.30357142857142855,0.8914027149321267,56,0,0.39000501377241953,0.2857142857142857,1.0,7,0,0.51,1.0,1.0,1.0,1.0,1.0
2,5,0.3979042393288442,0.30357142857142855,0.9140271493212669,56,0,0.38689249753952026,0.2857142857142857,1.0,7,0,0.52,1.0,1.0,1.0,1.0,1.0
2,6,0.39753838734967367,0.30357142857142855,0.9064856711915535,56,0,0.38350213851247517,0.2857142857142857,1.0,7,0,0.52,1.0,1.0,1.0,1.0,1.0
2,7,0.39225962066224646,0.30357142857142855,0.947209653092006,56,0,0.3791143447160721,0.2857142857142857,1.0,7,0,0.53,1.0,1.0,1.0,1.0,1.0
2,8,0.3909548380013023,0.30357142857142855,0.951734539969834,56,0,0.376146246279989,0.2857142857142857,1.0,7,0,0.54,1.0,1.0,1.0,1.0,1.0
2,9,0.3898253943771124,0.30357142857142855,0.9592760180995475,56,0,0.3727532242025648,0.2857142857142857,1.0,7,0,0.55,1.0,1.0,1.0,1.0,1.0
2,10,0.3885300178080797,0.30357142857142855,0.9502262443438914,56,0,0.3694255309445517,0.2857142857142857,1.0,7,0,0.56,1.0,1.0,1.0,1.0,1.0
2,11,0.38859421546970097,0.30357142857142855,0.951734539969834,56,0,0.36711294097559793,0.2857142857142857,1.0,7,0,0.57,1.0,1.0,1.0,1.0,1.0
2,12,0.387776218354702,0.30357142857142855,0.9457013574660633,56,0,0.3641213668244226,0.2857142857142857,1.0,7,0,0.58,1.0,1.0,1.0,1.0,1.0
2,13,0.38975900863962515,0.30357142857142855,0.9441930618401206,56,0,0.3616704451186316,0.2857142857142857,1.0,7,0,0.59,1.0,1.0,1.0,1.0,1.0
2,14,0.3850904583398785,0.30357142857142855,0.9502262443438914,56,0,0.35970813035964966,0.2857142857142857,1.0,7,0,0.6,1.0,1.0,1.0,1.0,1.0
2,15,0.38725126907229424,0.30357142857142855,0.9457013574660633,56,0,0.3572716329778944,0.2857142857142857,1.0,7,0,0.61,1.0,1.0,1.0,1.0,1.0
2,16,0.38350810962063925,0.30357142857142855,0.9607843137254902,56,0,0.35772494971752167,0.2857142857142857,1.0,7,0,0.62,1.0,1.0,1.0,1.0,1.0
2,17,0.3863004930317402,0.30357142857142855,0.9336349924585219,56,0,0.35797806084156036,0.2857142857142857,1.0,7,0,0.63,1.0,1.0,1.0,1.0,1.0
2,18,0.38626171302582535,0.30357142857142855,0.947209653092006,56,0,0.3537484237125942,0.2857142857142857,1.0,7,0,0.63,1.0,1.0,1.0,1.0,1.0
2,19,0.38970215937920977,0.30357142857142855,0.9351432880844646,56,0,0.3574289062193462,0.2857142857142857,1.0,7,0,0.65,1.0,1.0,1.0,1.0,1.0
2,20,0.38617887028626036,0.30357142857142855,0.9502262443438914,56,0,0.3558761051722935,0.2857142857142857,1.0,7,0,0.65,1.0,1.0,1.0,1.0,1.0
2,21,0.3921501206766282,0.3392857142857143,0.9321266968325792,56,0,0.35581835891519276,0.2857142857142857,1.0,7,0,0.66,1.0,1.0,1.0,1.0,1.0
2,22,0.38822801211582764,0.39285714285714285,0.9532428355957768,56,0,0.359209269285202,0.2857142857142857,1.0,7,0,0.68,1.0,1.0,1.0,1.0,1.0
2,23,0.39048238444541183,0.42857142857142855,0.951734539969834,56,0,0.35910576581954956,0.42857142857142855,1.0,7,0,0.68,1.0,1.0,1.0,1.0,1.0
2,24,0.3957294588908553,0.48214285714285715,0.9441930618401206,56,0,0.35960460028478075,0.42857142857142855,1.0,7,0,0.69,1.0,1.0,1.0,1.0,1.0
2,25,0.3966984059661627,0.5178571428571429,0.9396681749622926,56,0,0.3647409581712314,0.5714285714285714,1.0,7,0,0.7,1.0,1.0,1.0,1.0,1.0
2,26,0.3970541867560574,0.5892857142857143,0.951734539969834,56,0,0.3639002836176327,0.5714285714285714,1.0,7,0,0.71,1.0,1.0,1.0,1.0,1.0
2,27,0.4090201257328902,0.7321428571428571,0.9396681749622926,56,0,0.36741830727883745,0.5714285714285714,1.0,7,0,0.72,1.0,1.0,1.0,1.0,1.0
2,28,0.40074819486056057,0.75,0.9487179487179487,56,0,0.36591002132211414,0.5714285714285714,1.0,7,0,0.72,1.0,1.0,1.0,1.0,1.0
2,29,0.4102201923461897,0.8214285714285714,0.9457013574660633,56,0,0.370730385184288,0.8571428571428571,1.0,7,0,0.73,1.0,1.0,1.0,1.0,1.0
2,30,0.4010015397465655,0.8392857142857143,0.9577677224736049,56,0,0.37087425163814,0.8571428571428571,1.0,7,0,0.74,1.0,1.0,1.0,1.0,1.0
