fold,epoch,train_loss,train_accuracy_at_0_76,train_auc,train_processed_batches,train_skipped_batches,val_loss,val_accuracy_at_0_76,val_auc,val_processed_batches,val_skipped_batches,tuned_threshold,tuned_accuracy,tuned_sensitivity,tuned_specificity,tuned_f1,tuned_youden_j
2,1,0.4129442511096833,0.30158730158730157,0.7141148325358851,63,0,0.40605784952640533,0.3125,0.9818181818181818,16,0,0.49,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
2,2,0.40841559710956754,0.30158730158730157,0.8074162679425837,63,0,0.40303582325577736,0.3125,0.9818181818181818,16,0,0.51,0.875,0.8181818181818182,1.0,0.9,0.8181818181818183
2,3,0.4034278785425519,0.30158730158730157,0.8409090909090909,63,0,0.39436544477939606,0.3125,0.9818181818181818,16,0,0.52,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
2,4,0.3972600390986791,0.30158730158730157,0.8983253588516746,63,0,0.3898340631276369,0.3125,0.9818181818181818,16,0,0.53,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
2,5,0.393727386991183,0.30158730158730157,0.90311004784689,63,0,0.3864843714982271,0.3125,0.9818181818181818,16,0,0.54,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
2,6,0.39074435286105624,0.30158730158730157,0.9138755980861244,63,0,0.38470195792615414,0.3125,0.9818181818181818,16,0,0.55,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
2,7,0.38892610867818195,0.30158730158730157,0.9449760765550239,63,0,0.3827807046473026,0.3125,0.9818181818181818,16,0,0.56,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
2,8,0.38572417649011764,0.30158730158730157,0.9366028708133971,63,0,0.38100697472691536,0.3125,0.9818181818181818,16,0,0.57,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
2,9,0.38383431306907106,0.30158730158730157,0.94377990430622,63,0,0.3807456810027361,0.3125,0.9818181818181818,16,0,0.58,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
2,10,0.3848933582268064,0.30158730158730157,0.9545454545454546,63,0,0.37756836973130703,0.3125,1.0,16,0,0.57,1.0,1.0,1.0,1.0,1.0
