fold,epoch,train_loss,train_accuracy_at_0_76,train_auc,train_processed_batches,train_skipped_batches,val_loss,val_accuracy_at_0_76,val_auc,val_processed_batches,val_skipped_batches,tuned_threshold,tuned_accuracy,tuned_sensitivity,tuned_specificity,tuned_f1,tuned_youden_j
4,1,0.41224381806594984,0.30357142857142855,0.8868778280542986,56,0,0.40543406350272043,0.2857142857142857,0.9,7,0,0.48,0.8571428571428571,1.0,0.5,0.9090909090909091,0.5
4,2,0.4063840556357588,0.30357142857142855,0.9547511312217195,56,0,0.40286310229982647,0.2857142857142857,0.8,7,0,0.5,0.7142857142857143,0.6,1.0,0.7499999999999999,0.6000000000000001
4,3,0.4030675127037934,0.30357142857142855,0.9819004524886877,56,0,0.40119420630591257,0.2857142857142857,0.9,7,0,0.51,0.7142857142857143,0.6,1.0,0.7499999999999999,0.6000000000000001
4,4,0.4015859950866018,0.30357142857142855,0.9773755656108597,56,0,0.4009688198566437,0.2857142857142857,0.8,7,0,0.52,0.7142857142857143,0.6,1.0,0.7499999999999999,0.6000000000000001
4,5,0.40141447314194273,0.30357142857142855,0.9668174962292609,56,0,0.39998114109039307,0.2857142857142857,0.8,7,0,0.53,0.7142857142857143,0.6,1.0,0.7499999999999999,0.6000000000000001
4,6,0.39786436142666,0.30357142857142855,0.9879336349924586,56,0,0.3994234928062984,0.2857142857142857,0.8,7,0,0.54,0.7142857142857143,0.6,1.0,0.7499999999999999,0.6000000000000001
4,7,0.3972498660108873,0.30357142857142855,0.9788838612368024,56,0,0.3990284225770405,0.2857142857142857,0.8,7,0,0.55,0.7142857142857143,0.6,1.0,0.7499999999999999,0.6000000000000001
4,8,0.3962720688432455,0.30357142857142855,0.9849170437405732,56,0,0.39927585210118977,0.2857142857142857,0.8,7,0,0.55,0.8571428571428571,1.0,0.5,0.9090909090909091,0.5
4,9,0.39596792150821003,0.30357142857142855,0.9592760180995475,56,0,0.3986777386495045,0.2857142857142857,0.8,7,0,0.58,0.7142857142857143,0.6,1.0,0.7499999999999999,0.6000000000000001
4,10,0.39388848734753473,0.30357142857142855,0.9819004524886877,56,0,0.3989193524633135,0.2857142857142857,0.9,7,0,0.59,0.7142857142857143,0.6,1.0,0.7499999999999999,0.6000000000000001
4,11,0.39415035556469646,0.30357142857142855,0.9638009049773756,56,0,0.4008003558431353,0.2857142857142857,0.9,7,0,0.6,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,12,0.39271211065351963,0.30357142857142855,0.9683257918552036,56,0,0.4008368807179587,0.2857142857142857,0.9,7,0,0.61,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,13,0.393481063789555,0.30357142857142855,0.9788838612368024,56,0,0.4008293151855469,0.2857142857142857,0.9,7,0,0.62,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,14,0.39313460646995474,0.30357142857142855,0.9668174962292609,56,0,0.40257936077458517,0.2857142857142857,0.9,7,0,0.61,0.8571428571428571,1.0,0.5,0.9090909090909091,0.5
4,15,0.3929189991738115,0.30357142857142855,0.9743589743589743,56,0,0.403740148459162,0.2857142857142857,0.9,7,0,0.65,0.7142857142857143,0.6,1.0,0.7499999999999999,0.6000000000000001
4,16,0.39652176653700216,0.30357142857142855,0.9562594268476622,56,0,0.40624043558325085,0.2857142857142857,0.9,7,0,0.66,0.7142857142857143,0.6,1.0,0.7499999999999999,0.6000000000000001
4,17,0.3930361395967858,0.30357142857142855,0.9653092006033183,56,0,0.40714487859181,0.2857142857142857,0.9,7,0,0.67,0.7142857142857143,0.6,1.0,0.7499999999999999,0.6000000000000001
4,18,0.3951001196567501,0.30357142857142855,0.9547511312217195,56,0,0.4098149410315922,0.2857142857142857,0.9,7,0,0.68,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,19,0.3985403863979237,0.30357142857142855,0.9487179487179487,56,0,0.4133212992123195,0.2857142857142857,0.9,7,0,0.69,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,20,0.3990771597517388,0.30357142857142855,0.9577677224736049,56,0,0.4179319739341736,0.2857142857142857,0.9,7,0,0.71,0.7142857142857143,0.6,1.0,0.7499999999999999,0.6000000000000001
4,21,0.40181337403399603,0.30357142857142855,0.9381598793363499,56,0,0.41831998952797483,0.2857142857142857,0.9,7,0,0.71,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,22,0.40368434015129295,0.3392857142857143,0.9441930618401206,56,0,0.4237362284745489,0.42857142857142855,0.9,7,0,0.73,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,23,0.40584019877548727,0.4107142857142857,0.9396681749622926,56,0,0.42855812928506304,0.5714285714285714,0.9,7,0,0.74,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,24,0.412830124076988,0.6428571428571429,0.9366515837104072,56,0,0.4334672657506807,0.5714285714285714,0.9,7,0,0.75,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,25,0.4136200910434127,0.7321428571428571,0.942684766214178,56,0,0.43622644352061407,0.8571428571428571,0.9,7,0,0.76,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,26,0.4164507720353348,0.8392857142857143,0.951734539969834,56,0,0.4413833139198167,0.7142857142857143,0.9,7,0,0.77,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,27,0.4202610034761684,0.875,0.942684766214178,56,0,0.4432667312877519,0.8571428571428571,0.9,7,0,0.78,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,28,0.41965575689183815,0.875,0.9592760180995475,56,0,0.44796194561890196,0.8571428571428571,0.9,7,0,0.79,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,29,0.41991303694833604,0.9464285714285714,0.9592760180995475,56,0,0.4463753519313676,0.8571428571428571,0.9,7,0,0.79,0.8571428571428571,0.8,1.0,0.888888888888889,0.8
4,30,0.419891461131296,0.9464285714285714,0.9532428355957768,56,0,0.44720091351440977,0.8571428571428571,1.0,7,0,0.8,1.0,1.0,1.0,1.0,1.0
