fold,epoch,train_loss,train_accuracy_at_0_76,train_auc,train_processed_batches,train_skipped_batches,val_loss,val_accuracy_at_0_76,val_auc,val_processed_batches,val_skipped_batches,tuned_threshold,tuned_accuracy,tuned_sensitivity,tuned_specificity,tuned_f1,tuned_youden_j
4,1,0.4106937107585725,0.30158730158730157,0.8444976076555024,63,0,0.4065007697790861,0.3125,0.9272727272727272,16,0,0.48,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
4,2,0.4043977057176923,0.30158730158730157,0.9581339712918661,63,0,0.40364187955856323,0.3125,0.9636363636363636,16,0,0.5,0.875,0.8181818181818182,1.0,0.9,0.8181818181818183
4,3,0.40193031610004487,0.30158730158730157,0.9473684210526315,63,0,0.40137824043631554,0.3125,0.9636363636363636,16,0,0.51,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
4,4,0.4000846989571102,0.30158730158730157,0.9533492822966507,63,0,0.3997026178985834,0.3125,0.9636363636363636,16,0,0.52,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
4,5,0.3975422919269592,0.30158730158730157,0.965311004784689,63,0,0.3981544291600585,0.3125,0.9636363636363636,16,0,0.53,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
4,6,0.39669787505316356,0.30158730158730157,0.9318181818181818,63,0,0.39624641463160515,0.3125,0.9636363636363636,16,0,0.55,0.875,0.8181818181818182,1.0,0.9,0.8181818181818183
4,7,0.3931956953472561,0.30158730158730157,0.9665071770334929,63,0,0.3942227950319648,0.3125,0.9636363636363636,16,0,0.55,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
4,8,0.3931887159271846,0.30158730158730157,0.9760765550239234,63,0,0.39249604381620884,0.3125,0.9636363636363636,16,0,0.56,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
4,9,0.39446093283948447,0.30158730158730157,0.9617224880382775,63,0,0.391482537612319,0.3125,0.9818181818181818,16,0,0.58,0.875,0.8181818181818182,1.0,0.9,0.8181818181818183
4,10,0.3924330766238863,0.30158730158730157,0.9401913875598086,63,0,0.39077394735068083,0.3125,0.9818181818181818,16,0,0.59,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
4,11,0.3879737884752334,0.30158730158730157,0.972488038277512,63,0,0.38825140055269003,0.3125,0.9818181818181818,16,0,0.6,0.875,0.8181818181818182,1.0,0.9,0.8181818181818183
4,12,0.39461066680295126,0.30158730158730157,0.9342105263157895,63,0,0.38980578631162643,0.3125,0.9818181818181818,16,0,0.61,0.9375,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909092
4,13,0.390908639818903,0.30158730158730157,0.9569377990430622,63,0,0.3878950532525778,0.3125,0.9636363636363636,16,0,0.62,0.875,0.8181818181818182,1.0,0.9,0.8181818181818183
4,14,0.39375684020065127,0.30158730158730157,0.9569377990430622,63,0,0.3893714090809226,0.3125,0.9636363636363636,16,0,0.63,0.9375,1.0,0.8,0.9565217391304348,0.8
4,15,0.38901077920482274,0.30158730158730157,0.965311004784689,63,0,0.3873653640039265,0.375,0.9818181818181818,16,0,0.63,0.9375,1.0,0.8,0.9565217391304348,0.8
